date,audiCnt,showCnt
2018-01-01,17366.23,5236.0
2018-01-02,6579.07,4729.0
2018-01-03,6511.37,4787.0
2018-01-04,6254.33,4891.0
2018-01-05,7343.74,4943.0
2018-01-06,14824.75,5132.0
2018-01-07,13944.13,5102.0
2018-01-08,5224.61,4675.0
2018-01-09,4981.57,4857.0
2018-01-10,4634.95,4610.0
2018-01-11,5140.66,5078.0
2018-01-12,5866.75,5254.0
2018-01-13,13046.01,5594.0
2018-01-14,12393.91,5519.0
2018-01-15,4251.63,4742.0
2018-01-16,4203.88,4964.0
2018-01-17,6341.08,4720.0
2018-01-18,5603.97,4738.0
2018-01-19,6156.39,4720.0
2018-01-20,12760.07,4943.0
2018-01-21,11776.96,4931.0
2018-01-22,4040.04,4609.0
2018-01-23,3974.37,4668.0
2018-01-24,3836.34,4826.0
2018-01-25,3809.38,5135.0
2018-01-26,4224.58,5291.0
2018-01-27,9487.09,5892.0
2018-01-28,9025.76,5712.0
2018-01-29,3139.36,4953.0
2018-01-30,3065.45,5088.0
2018-01-31,7010.7,5056.0
2018-02-01,3327.54,4749.0
2018-02-02,3684.04,5142.0
2018-02-03,7972.27,5653.0
2018-02-04,7113.49,5638.0
2018-02-05,2137.69,4844.0
2018-02-06,2017.35,4843.0
2018-02-07,1980.56,4900.0
2018-02-08,2802.43,4674.0
2018-02-09,3045.09,4849.0
2018-02-10,6494.4,5147.0
2018-02-11,5916.55,5134.0
2018-02-12,1918.74,4658.0
2018-02-13,1993.28,4671.0
2018-02-14,9895.04,4814.0
2018-02-15,10523.97,5276.0
2018-02-16,11847.29,5385.0
2018-02-17,14678.27,5569.0
2018-02-18,11286.21,5589.0
2018-02-19,4282.64,4907.0
2018-02-20,3390.63,4652.0
2018-02-21,3042.86,4620.0
2018-02-22,2936.58,4170.0
2018-02-23,3423.7,4365.0
2018-02-24,6658.25,4690.0
2018-02-25,5941.92,4583.0
2018-02-26,2596.66,4170.0
2018-02-27,2595.54,4247.0
2018-02-28,6424.77,4362.0
2018-03-01,8280.36,4640.0
2018-03-02,3520.67,4590.0
2018-03-03,6701.58,4754.0
2018-03-04,5829.85,4580.0
2018-03-05,2027.15,4260.0
2018-03-06,1904.33,4179.0
2018-03-07,2051.41,4001.0
