date,audiCnt,showCnt
2019-04-01,2233.92,4657.0
2019-04-02,1790.17,4554.0
2019-04-03,2578.47,4624.0
2019-04-04,2025.67,4616.0
2019-04-05,2692.98,4872.0
2019-04-06,5754.49,5416.0
2019-04-07,4824.8,5436.0
2019-04-08,1474.59,4523.0
2019-04-09,1382.67,4634.0
2019-04-10,1875.05,4797.0
2019-04-11,1702.16,4818.0
2019-04-12,2083.66,4956.0
2019-04-13,3515.95,5066.0
2019-04-14,3563.67,5174.0
2019-04-15,1144.01,4656.0
2019-04-16,1250.16,4117.0
2019-04-17,1216.46,3880.0
2019-04-18,1157.52,3866.0
2019-04-19,1462.91,4176.0
2019-04-20,2467.13,4540.0
2019-04-21,2132.75,4387.0
2019-04-22,894.46,4052.0
2019-04-23,906.85,4127.0
2019-04-24,13838.82,4086.0
2019-04-25,8834.09,4439.0
2019-04-26,11023.64,4380.0
2019-04-27,18201.33,4443.0
2019-04-28,15813.66,4559.0
2019-04-29,5080.56,4149.0
2019-04-30,5947.87,4317.0
2019-05-01,11831.76,4750.0
2019-05-02,4816.92,4155.0
2019-05-03,7054.81,4402.0
2019-05-04,12009.21,5250.0
2019-05-05,12181.12,5351.0
2019-05-06,9874.51,5161.0
2019-05-07,2750.39,4193.0
2019-05-08,2100.65,3722.0
2019-05-09,2838.07,4486.0
2019-05-10,3829.01,4732.0
2019-05-11,8237.65,5335.0
2019-05-12,7402.43,5290.0
2019-05-13,2259.15,4497.0
2019-05-14,2138.93,4455.0
2019-05-15,3727.3,4922.0
2019-05-16,3334.83,5047.0
2019-05-17,4354.78,5156.0
2019-05-18,9492.6,5726.0
2019-05-19,8949.08,5604.0
2019-05-20,2995.31,4851.0
2019-05-21,2626.23,4871.0
2019-05-22,2661.9,4406.0
2019-05-23,2876.57,4779.0
2019-05-24,3946.26,5105.0
2019-05-25,8785.12,5621.0
2019-05-26,8511.31,5385.0
2019-05-27,3001.2,4987.0
2019-05-28,2648.84,4841.0
2019-05-29,5767.56,5012.0
2019-05-30,7459.39,4750.0
2019-05-31,9121.99,4885.0
