date,audiCnt,scrnCnt,showCnt,avgRels,maxShare,rain,temp,year,month,day,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2010-01-01,6492.235,12785,61400,13.3,44.9,0.0,-4.9,2010,January,Friday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-02,2538.574,5150,24524,14.3,44.8,0.8,-0.1,2010,January,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-01-03,2000.0839999999998,5102,23140,15.3,45.9,0.0,-2.9,2010,January,Sunday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-01-04,668.868,4810,21522,12.0,53.4,5.9,-1.8,2010,January,Monday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-05,650.058,4768,21196,16.0,51.3,0.7,-5.2,2010,January,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-06,599.78,4822,21316,13.5,50.7,0.3,-7.3,2010,January,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-01-07,665.06,4998,22674,8.0,44.8,0.0,-6.7,2010,January,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010-01-08,794.388,5014,23420,9.0,45.2,0.0,-5.6,2010,January,Friday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-09,1874.984,5466,24388,10.2,41.8,0.1,-3.1,2010,January,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-01-10,1782.0279999999998,5456,23452,11.0,42.3,0.0,-1.3,2010,January,Sunday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-01-11,599.5880000000001,4882,21544,15.5,50.3,0.0,-1.5,2010,January,Monday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-12,604.48,4902,21552,13.4,49.4,0.4,-5.0,2010,January,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-13,569.5980000000001,5110,22150,11.4,47.9,0.7,-8.3,2010,January,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-01-14,595.158,4996,22446,10.3,45.4,0.1,-6.4,2010,January,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010-01-15,725.41,5076,23466,11.3,45.1,0.1,-2.6,2010,January,Friday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-16,1698.612,5378,24854,12.3,40.4,0.0,-4.1,2010,January,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-01-17,785.0060000000001,2662,11911,13.3,40.4,0.0,-3.1,2010,January,Sunday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-01-18,257.885,2542,11050,14.3,48.1,0.0,-0.4,2010,January,Monday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-19,253.641,2533,10743,15.3,46.6,0.3,3.6,2010,January,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-20,251.334,2607,10595,15.1,45.7,10.8,8.0,2010,January,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-01-21,274.116,2201,10199,12.3,40.6,3.1,1.3,2010,January,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010-01-22,312.137,2211,10589,13.3,42.1,0.0,-3.1,2010,January,Friday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-23,738.304,2344,11212,14.3,39.4,0.1,-2.7,2010,January,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-01-24,709.2539999999999,2334,10770,15.3,41.6,0.0,0.4,2010,January,Sunday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-01-25,247.801,2224,9979,16.3,52.1,0.0,0.8,2010,January,Monday,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-26,250.518,2143,9721,14.8,50.3,0.0,-2.3,2010,January,Tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-27,230.96099999999998,2155,9635,15.6,51.3,6.5,1.3,2010,January,Wednesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-01-28,330.19199999999995,2183,10768,12.8,36.0,0.1,3.5,2010,January,Thursday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010-01-29,374.135,2190,11195,13.8,38.1,0.0,0.2,2010,January,Friday,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-30,774.137,2394,11752,14.8,34.6,0.0,1.9,2010,January,Saturday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
