x,y
2022-07-01,157478
2022-07-02,131815
2022-07-03,114470
2022-07-04,151497
2022-07-05,149259
2022-07-06,142649
2022-07-07,116854
2022-07-08,150313
2022-07-09,134633
2022-07-10,110494
2022-07-11,146165
2022-07-12,167309
2022-07-13,21922
2022-07-14,152774
2022-07-15,167144
2022-07-16,110506
2022-07-17,128631
2022-07-18,166820
2022-07-19,168900
2022-07-20,145087
2022-07-21,112449
2022-07-22,153209
2022-07-23,79826
2022-07-24,113217
2022-07-25,145899
2022-07-26,160600
2022-07-27,161296
2022-07-28,155345
2022-07-29,147170
2022-07-30,107582
2022-07-31,29814
2022-08-01,108030
2022-08-02,57524
2022-08-03,102130
2022-08-04,148807
2022-08-05,145855
2022-08-06,106406
2022-08-07,97939
2022-08-08,21616
2022-08-09,482
2022-08-10,108151
2022-08-11,108359
2022-08-12,147097
2022-08-13,82347
2022-08-14,87778
2022-08-15,83889
2022-08-16,154263
2022-08-17,157994
2022-08-18,162179
2022-08-19,83749
2022-08-20,124465
2022-08-21,122389
2022-08-22,146073
2022-08-23,152206
2022-08-24,174857
2022-08-25,135159
2022-08-26,177282
2022-08-27,173160
2022-08-28,160420
2022-08-29,108867
2022-08-30,16813
2022-08-31,164301
2022-09-01,179336
2022-09-02,187990
2022-09-03,170688
2022-09-04,39346
2022-09-05,5208
2022-09-06,142342
2022-09-07,179905
2022-09-08,183813
2022-09-09,123214
2022-09-10,108686
2022-09-11,107761
2022-09-12,151839
2022-09-13,167657
2022-09-14,179633
2022-09-15,184021
2022-09-16,132178
2022-09-17,147264
2022-09-18,146847
2022-09-19,183189
2022-09-20,191649
2022-09-21,191553
2022-09-22,189285
2022-09-23,178981
2022-09-24,176719
2022-09-25,162743
2022-09-26,187571
2022-09-27,190672
2022-09-28,191600
2022-09-29,186204
2022-09-30,192638
2022-10-01,167146
2022-10-02,74506
2022-10-03,10809
2022-10-04,146100
2022-10-05,179824
2022-10-06,169381
2022-10-07,181964
2022-10-08,166740
2022-10-09,24968
2022-10-10,72486
2022-10-11,157516
2022-10-12,171262
2022-10-13,175695
2022-10-14,180404
2022-10-15,160508
2022-10-16,134682
2022-10-17,149615
2022-10-18,152318
2022-10-19,159650
2022-10-20,163096
2022-10-21,167709
2022-10-22,146898
2022-10-23,124544
2022-10-24,147964
2022-10-25,157819
2022-10-26,163031
2022-10-27,163519
2022-10-28,167014
2022-10-29,146310
2022-10-30,126689
2022-10-31,160105
2022-11-01,162918
2022-11-02,161139
2022-11-03,146670
2022-11-04,127701
2022-11-05,109291
2022-11-06,106962
2022-11-07,142938
2022-11-08,157941
2022-11-09,157102
2022-11-10,158857
2022-11-11,165833
2022-11-12,66917
2022-11-13,87874
2022-11-14,141077
2022-11-15,125177
2022-11-16,141697
2022-11-17,148576
2022-11-18,152302
2022-11-19,126814
2022-11-20,119927
2022-11-21,147806
2022-11-22,140744
2022-11-23,148238
2022-11-24,146932
2022-11-25,145164
2022-11-26,90547
2022-11-27,82725
2022-11-28,57036
2022-11-29,92580
2022-11-30,75348
2022-12-01,74904
2022-12-02,84067
2022-12-03,57915
2022-12-04,44873
2022-12-05,77693
2022-12-06,80832
2022-12-07,96195
2022-12-08,100979
2022-12-09,102213
2022-12-10,72960
2022-12-11,60129
2022-12-12,59098
2022-12-13,57490
2022-12-14,54486
2022-12-15,37022
2022-12-16,41953
2022-12-17,31405
2022-12-18,25468
2022-12-19,51854
2022-12-20,64282
2022-12-21,31784
2022-12-22,39875
2022-12-23,33723
2022-12-24,28612
2022-12-25,25623
2022-12-26,52582
2022-12-27,58890
2022-12-28,54012
2022-12-29,57393
2022-12-30,56058
2022-12-31,42347
